,ts_code,symbol,name,exchange_id,list_status,list_date
3212,603203.SH,603203,快克股份,SSE,L,20161108
3213,603208.SH,603208,江山欧派,SSE,L,20170210
3214,603214.SH,603214,爱婴室,SSE,L,20180330
3215,603218.SH,603218,日月股份,SSE,L,20161228
3216,603222.SH,603222,济民制药,SSE,L,20150217
3217,603223.SH,603223,恒通股份,SSE,L,20150630
3218,603225.SH,603225,新凤鸣,SSE,L,20170418
3219,603226.SH,603226,菲林格尔,SSE,L,20170615
3220,603227.SH,603227,雪峰科技,SSE,L,20150515
3221,603228.SH,603228,景旺电子,SSE,L,20170106
3222,603229.SH,603229,奥翔药业,SSE,L,20170509
3223,603232.SH,603232,格尔软件,SSE,L,20170421
3224,603233.SH,603233,大参林,SSE,L,20170731
3225,603238.SH,603238,诺邦股份,SSE,L,20170222
3226,603239.SH,603239,浙江仙通,SSE,L,20161230
3227,603258.SH,603258,电魂网络,SSE,L,20161026
3228,603259.SH,603259,药明康德,SSE,L,20180508
3229,603260.SH,603260,合盛硅业,SSE,L,20171030
3230,603266.SH,603266,天龙股份,SSE,L,20170110
3231,603268.SH,603268,松发股份,SSE,L,20150319
3232,603269.SH,603269,海鸥股份,SSE,L,20170517
3233,603277.SH,603277,银都股份,SSE,L,20170911
3234,603278.SH,603278,大业股份,SSE,L,20171113
3235,603283.SH,603283,赛腾股份,SSE,L,20171225
3236,603286.SH,603286,日盈电子,SSE,L,20170627
3237,603288.SH,603288,海天味业,SSE,L,20140211
3238,603289.SH,603289,泰瑞机器,SSE,L,20171031
3239,603297.SH,603297,永新光学,SSE,L,20180910
3240,603298.SH,603298,杭叉集团,SSE,L,20161227
3241,603299.SH,603299,井神股份,SSE,L,20151231
3242,603300.SH,603300,华铁科技,SSE,L,20150529
3243,603301.SH,603301,振德医疗,SSE,L,20180412
3244,603303.SH,603303,得邦照明,SSE,L,20170330
3245,603305.SH,603305,旭升股份,SSE,L,20170710
3246,603306.SH,603306,华懋科技,SSE,L,20140926
3247,603308.SH,603308,应流股份,SSE,L,20140122
3248,603309.SH,603309,维力医疗,SSE,L,20150302
3249,603311.SH,603311,金海环境,SSE,L,20150518
3250,603313.SH,603313,梦百合,SSE,L,20161013
3251,603315.SH,603315,福鞍股份,SSE,L,20150424
3252,603316.SH,603316,诚邦股份,SSE,L,20170619
3253,603318.SH,603318,派思股份,SSE,L,20150424
3254,603319.SH,603319,湘油泵,SSE,L,20161130
3255,603320.SH,603320,迪贝电气,SSE,L,20170502
3256,603321.SH,603321,梅轮电梯,SSE,L,20170915
3257,603322.SH,603322,超讯通信,SSE,L,20160728
3258,603323.SH,603323,吴江银行,SSE,L,20161129
3259,603326.SH,603326,我乐家居,SSE,L,20170616
3260,603328.SH,603328,依顿电子,SSE,L,20140701
3261,603329.SH,603329,上海雅仕,SSE,L,20171229
3262,603330.SH,603330,上海天洋,SSE,L,20170213
3263,603331.SH,603331,百达精工,SSE,L,20170705
3264,603333.SH,603333,明星电缆,SSE,L,20120507
3265,603335.SH,603335,迪生力,SSE,L,20170620
