,ts_code_x,trade_date,open,high,low,close,pre_close,change,pct_change,vol,amount,ts_code_y,adj_factor
0,601086.SH,20170929,3.79,4.55,3.79,4.55,3.16,1.39,43.99,492.99,221.954,601086.SH,1.0
1,601086.SH,20171009,5.01,5.01,5.01,5.01,4.55,0.46,10.11,348.98,174.839,601086.SH,1.0
2,601086.SH,20171010,5.51,5.51,5.51,5.51,5.01,0.5,9.98,196.0,107.996,601086.SH,1.0
3,601086.SH,20171011,6.06,6.06,6.06,6.06,5.51,0.55,9.98,217.0,131.502,601086.SH,1.0
4,601086.SH,20171012,6.67,6.67,6.67,6.67,6.06,0.61,10.07,682.42,455.174,601086.SH,1.0
5,601086.SH,20171013,7.34,7.34,7.34,7.34,6.67,0.67,10.05,1076.99,790.511,601086.SH,1.0
6,601086.SH,20171016,8.07,8.07,8.07,8.07,7.34,0.73,9.95,1991.57,1607.197,601086.SH,1.0
7,601086.SH,20171017,8.88,8.88,8.88,8.88,8.07,0.81,10.04,3289.98,2921.502,601086.SH,1.0
8,601086.SH,20171018,9.77,9.77,9.77,9.77,8.88,0.89,10.02,3692.29,3607.367,601086.SH,1.0
9,601086.SH,20171019,10.75,10.75,10.75,10.75,9.77,0.98,10.03,11143.24,11978.983,601086.SH,1.0
10,601086.SH,20171020,11.83,11.83,11.83,11.83,10.75,1.08,10.05,23410.52,27694.645,601086.SH,1.0
11,601086.SH,20171023,12.5,13.01,12.5,13.01,11.83,1.18,9.97,447212.05,574938.428,601086.SH,1.0
12,601086.SH,20171024,13.2,13.45,11.84,12.0,13.01,-1.01,-7.76,930670.81,1159765.432,601086.SH,1.0
13,601086.SH,20171025,11.68,13.2,11.52,13.2,12.0,1.2,10.0,581051.59,738032.958,601086.SH,1.0
14,601086.SH,20171026,13.2,13.2,11.88,11.94,13.2,-1.26,-9.55,813404.49,1010816.975,601086.SH,1.0
15,601086.SH,20171027,11.5,11.73,11.0,11.13,11.94,-0.81,-6.78,539100.73,610262.67,601086.SH,1.0
16,601086.SH,20171030,10.73,10.99,10.1,10.79,11.13,-0.34,-3.05,442177.5,465212.303,601086.SH,1.0
17,601086.SH,20171031,10.55,10.97,10.55,10.84,10.79,0.05,0.46,315500.25,339563.306,601086.SH,1.0
18,601086.SH,20171101,10.85,11.05,10.6,10.63,10.84,-0.21,-1.94,287621.98,311143.344,601086.SH,1.0
19,601086.SH,20171102,10.61,11.58,10.41,11.16,10.63,0.53,4.99,441879.42,484425.593,601086.SH,1.0
20,601086.SH,20171103,10.92,11.04,10.67,10.73,11.16,-0.43,-3.85,258582.01,280031.026,601086.SH,1.0
21,601086.SH,20171106,10.96,11.07,10.58,10.71,10.73,-0.02,-0.19,202638.71,219843.842,601086.SH,1.0
22,601086.SH,20171107,10.57,10.99,10.32,10.79,10.71,0.08,0.75,289425.07,305984.322,601086.SH,1.0
23,601086.SH,20171108,10.74,11.75,10.71,11.32,10.79,0.53,4.91,529070.88,595035.873,601086.SH,1.0
24,601086.SH,20171109,11.07,11.18,10.88,11.06,11.32,-0.26,-2.3,333579.82,367708.133,601086.SH,1.0
25,601086.SH,20171110,10.8,10.93,10.55,10.62,11.06,-0.44,-3.98,302124.27,324749.138,601086.SH,1.0
26,601086.SH,20171113,10.62,10.64,10.23,10.32,10.62,-0.3,-2.82,265361.24,275445.59,601086.SH,1.0
27,601086.SH,20171114,10.28,10.28,9.88,9.94,10.32,-0.38,-3.68,251204.91,252342.776,601086.SH,1.0
28,601086.SH,20171115,9.93,10.09,9.77,9.99,9.94,0.05,0.5,138602.03,137360.732,601086.SH,1.0
29,601086.SH,20171116,9.78,9.95,9.4,9.46,9.99,-0.53,-5.31,164153.62,159791.608,601086.SH,1.0
30,601086.SH,20171117,9.45,9.58,8.58,8.66,9.46,-0.8,-8.46,219372.86,197838.704,601086.SH,1.0
31,601086.SH,20171120,8.55,8.74,8.43,8.69,8.66,0.03,0.35,103083.27,88540.72,601086.SH,1.0
32,601086.SH,20171121,8.7,8.7,8.35,8.53,8.69,-0.16,-1.84,141630.69,120534.957,601086.SH,1.0
33,601086.SH,20171122,8.47,8.55,8.22,8.29,8.53,-0.24,-2.81,128500.9,107963.095,601086.SH,1.0
34,601086.SH,20171123,8.29,8.35,7.82,7.86,8.29,-0.43,-5.19,151937.38,123249.918,601086.SH,1.0
35,601086.SH,20171124,7.83,8.04,7.69,7.79,7.86,-0.07,-0.89,140899.95,110569.521,601086.SH,1.0
36,601086.SH,20171127,7.79,7.93,7.62,7.76,7.79,-0.03,-0.39,96301.06,75010.369,601086.SH,1.0
37,601086.SH,20171128,7.75,8.29,7.7,8.13,7.76,0.37,4.77,165668.84,133160.825,601086.SH,1.0
38,601086.SH,20171129,8.08,8.13,7.81,8.0,8.13,-0.13,-1.6,130444.34,103642.181,601086.SH,1.0
39,601086.SH,20171130,7.95,8.07,7.91,8.0,8.0,0.0,0.0,84596.7,67625.162,601086.SH,1.0
40,601086.SH,20171201,8.0,8.03,7.93,7.98,8.0,-0.02,-0.25,59496.72,47433.633,601086.SH,1.0
41,601086.SH,20171204,7.94,7.94,7.41,7.45,7.98,-0.53,-6.64,131347.25,100674.919,601086.SH,1.0
42,601086.SH,20171205,7.42,7.53,7.02,7.1,7.45,-0.35,-4.7,104333.99,75877.104,601086.SH,1.0
43,601086.SH,20171206,7.13,7.23,7.02,7.21,7.1,0.11,1.55,79450.83,56722.168,601086.SH,1.0
44,601086.SH,20171207,7.17,7.24,7.12,7.13,7.21,-0.08,-1.11,58919.35,42204.889,601086.SH,1.0
45,601086.SH,20171208,7.14,7.84,7.13,7.84,7.13,0.71,9.96,207941.75,158172.074,601086.SH,1.0
