,ts_code_x,trade_date,open,high,low,close,pre_close,change,pct_change,vol,amount,ts_code_y,adj_factor
0,603605.SH,20171115,22.09,22.09,22.09,22.09,15.34,6.75,44.0,211.48,467.159,603605.SH,1.0
1,603605.SH,20171116,24.3,24.3,24.3,24.3,22.09,2.21,10.0,85.69,208.227,603605.SH,1.0
2,603605.SH,20171117,26.73,26.73,26.73,26.73,24.3,2.43,10.0,166.72,445.643,603605.SH,1.0
3,603605.SH,20171120,29.4,29.4,29.4,29.4,26.73,2.67,9.99,441.24,1297.246,603605.SH,1.0
4,603605.SH,20171121,32.34,32.34,32.34,32.34,29.4,2.94,10.0,496.7,1606.328,603605.SH,1.0
5,603605.SH,20171122,35.57,35.57,35.57,35.57,32.34,3.23,9.99,6046.61,21507.792,603605.SH,1.0
6,603605.SH,20171123,35.9,39.13,35.01,39.13,35.57,3.56,10.01,296122.8,1113481.011,603605.SH,1.0
7,603605.SH,20171124,36.87,37.85,35.22,35.22,39.13,-3.91,-9.99,186749.59,678896.228,603605.SH,1.0
8,603605.SH,20171127,33.77,34.44,31.7,31.7,35.22,-3.52,-9.99,151230.59,499562.379,603605.SH,1.0
9,603605.SH,20171128,31.35,33.5,31.35,32.41,31.7,0.71,2.24,115292.32,375456.781,603605.SH,1.0
10,603605.SH,20171129,32.05,32.41,30.5,31.75,32.41,-0.66,-2.04,111469.05,348839.686,603605.SH,1.0
11,603605.SH,20171130,31.42,32.44,31.1,31.9,31.75,0.15,0.47,95948.89,305351.897,603605.SH,1.0
12,603605.SH,20171201,31.56,32.8,30.8,31.38,31.9,-0.52,-1.63,86330.94,275334.285,603605.SH,1.0
13,603605.SH,20171204,30.7,30.8,28.24,28.24,31.38,-3.14,-10.01,120865.65,349955.211,603605.SH,1.0
14,603605.SH,20171205,27.82,28.5,27.38,27.85,28.24,-0.39,-1.38,62197.49,174088.344,603605.SH,1.0
15,603605.SH,20171206,27.73,28.65,27.73,28.58,27.85,0.73,2.62,65767.47,186460.593,603605.SH,1.0
16,603605.SH,20171207,28.7,28.79,27.74,27.83,28.58,-0.75,-2.62,45954.23,129757.903,603605.SH,1.0
17,603605.SH,20171208,27.72,28.88,27.53,28.26,27.83,0.43,1.55,64223.61,182213.529,603605.SH,1.0
18,603605.SH,20171211,28.08,28.48,27.88,28.39,28.26,0.13,0.46,46962.75,132581.207,603605.SH,1.0
19,603605.SH,20171212,28.33,28.46,26.66,26.7,28.39,-1.69,-5.95,70165.07,191831.688,603605.SH,1.0
20,603605.SH,20171213,26.7,27.15,26.7,26.99,26.7,0.29,1.09,31840.89,85721.686,603605.SH,1.0
21,603605.SH,20171214,27.02,27.65,26.78,27.47,26.99,0.48,1.78,48142.35,131324.719,603605.SH,1.0
22,603605.SH,20171215,27.21,27.47,27.02,27.06,27.47,-0.41,-1.49,31244.77,84944.003,603605.SH,1.0
23,603605.SH,20171218,27.23,27.57,26.91,27.2,27.06,0.14,0.52,29957.31,81618.045,603605.SH,1.0
24,603605.SH,20171219,27.1,27.77,27.1,27.64,27.2,0.44,1.62,40049.36,110340.424,603605.SH,1.0
25,603605.SH,20171220,27.52,28.16,27.02,27.09,27.64,-0.55,-1.99,42647.13,117669.324,603605.SH,1.0
26,603605.SH,20171221,26.8,26.88,25.58,26.63,27.09,-0.46,-1.7,58359.1,153502.337,603605.SH,1.0
27,603605.SH,20171222,26.68,27.28,26.46,26.89,26.63,0.26,0.98,38394.58,103674.077,603605.SH,1.0
28,603605.SH,20171225,26.79,27.65,26.08,27.26,26.89,0.37,1.38,53171.63,142448.674,603605.SH,1.0
29,603605.SH,20171226,27.19,28.62,27.16,28.4,27.26,1.14,4.18,83846.84,235336.925,603605.SH,1.0
30,603605.SH,20171227,28.2,29.48,27.89,28.46,28.4,0.06,0.21,95733.14,273828.123,603605.SH,1.0
31,603605.SH,20171228,28.03,29.41,27.95,29.28,28.46,0.82,2.88,93351.66,269357.772,603605.SH,1.0
32,603605.SH,20171229,28.98,29.38,28.5,28.72,29.28,-0.56,-1.91,54187.59,156143.903,603605.SH,1.0
33,603605.SH,20180102,28.31,29.06,28.31,28.81,28.72,0.09,0.31,40377.08,116131.633,603605.SH,1.0
34,603605.SH,20180103,28.68,28.68,27.82,28.34,28.81,-0.47,-1.63,47043.71,132942.221,603605.SH,1.0
35,603605.SH,20180104,28.43,28.47,27.9,28.06,28.34,-0.28,-0.99,33646.83,94632.678,603605.SH,1.0
36,603605.SH,20180105,28.04,28.49,27.87,28.06,28.06,0.0,0.0,29346.46,82464.834,603605.SH,1.0
37,603605.SH,20180108,28.16,28.59,27.77,28.57,28.06,0.51,1.82,41323.36,116274.767,603605.SH,1.0
38,603605.SH,20180109,28.57,29.88,28.35,29.6,28.57,1.03,3.61,97031.01,285010.589,603605.SH,1.0
39,603605.SH,20180110,29.28,29.44,28.7,28.99,29.6,-0.61,-2.06,50041.71,145250.274,603605.SH,1.0
40,603605.SH,20180111,28.66,29.67,28.28,29.27,28.99,0.28,0.97,55245.73,161899.43,603605.SH,1.0
41,603605.SH,20180112,29.15,29.28,28.4,28.64,29.27,-0.63,-2.15,41884.46,120813.51,603605.SH,1.0
42,603605.SH,20180115,28.45,28.73,26.91,27.15,28.64,-1.49,-5.2,43291.18,120216.869,603605.SH,1.0
43,603605.SH,20180116,27.25,28.59,27.1,28.33,27.15,1.18,4.35,53734.94,150647.357,603605.SH,1.0
44,603605.SH,20180117,28.11,29.24,27.81,28.89,28.33,0.56,1.98,58521.57,167804.869,603605.SH,1.0
45,603605.SH,20180118,28.7,29.57,28.62,28.82,28.89,-0.07,-0.24,48449.78,140815.754,603605.SH,1.0
46,603605.SH,20180119,28.67,29.54,28.37,29.32,28.82,0.5,1.73,51586.92,150476.766,603605.SH,1.0
47,603605.SH,20180122,29.05,30.29,28.75,29.08,29.32,-0.24,-0.82,68572.06,201982.048,603605.SH,1.0
48,603605.SH,20180123,28.55,28.69,27.91,28.57,29.08,-0.51,-1.75,43311.0,122744.222,603605.SH,1.0
49,603605.SH,20180124,28.45,31.43,28.38,31.43,28.57,2.86,10.01,86339.39,263963.339,603605.SH,1.0
50,603605.SH,20180125,32.48,32.86,30.57,30.9,31.43,-0.53,-1.69,136531.53,429457.705,603605.SH,1.0
51,603605.SH,20180126,30.17,30.8,29.83,29.99,30.9,-0.91,-2.95,70749.99,213753.628,603605.SH,1.0
52,603605.SH,20180129,30.2,31.1,29.55,30.47,29.99,0.48,1.6,81092.6,246282.763,603605.SH,1.0
53,603605.SH,20180130,30.2,30.5,29.26,29.46,30.47,-1.01,-3.31,45987.99,137168.34,603605.SH,1.0
54,603605.SH,20180131,29.08,29.97,28.08,28.46,29.46,-1.0,-3.39,57324.1,166990.509,603605.SH,1.0
55,603605.SH,20180201,28.3,28.69,26.0,26.4,28.46,-2.06,-7.24,64110.04,174152.778,603605.SH,1.0
56,603605.SH,20180202,26.4,26.69,25.1,25.9,26.4,-0.5,-1.89,41452.15,107694.064,603605.SH,1.0
57,603605.SH,20180205,25.29,25.85,25.15,25.3,25.9,-0.6,-2.32,27708.23,70450.675,603605.SH,1.0
58,603605.SH,20180206,24.5,24.8,22.77,22.77,25.3,-2.53,-10.0,50386.74,120268.223,603605.SH,1.0
59,603605.SH,20180207,23.38,24.2,22.6,23.65,22.77,0.88,3.86,51534.12,121214.282,603605.SH,1.0
60,603605.SH,20180208,23.69,24.26,23.45,23.98,23.65,0.33,1.4,29820.65,71342.572,603605.SH,1.0
61,603605.SH,20180209,23.07,23.59,22.5,23.1,23.98,-0.88,-3.67,30404.83,70366.244,603605.SH,1.0
62,603605.SH,20180212,23.5,24.5,23.35,23.87,23.1,0.77,3.33,29140.4,69604.165,603605.SH,1.0
63,603605.SH,20180213,24.05,24.98,23.95,24.7,23.87,0.83,3.48,48174.61,117531.561,603605.SH,1.0
64,603605.SH,20180214,24.56,24.78,24.16,24.57,24.7,-0.13,-0.53,22850.22,55883.158,603605.SH,1.0
65,603605.SH,20180222,24.87,24.95,24.48,24.61,24.57,0.04,0.16,22158.75,54637.411,603605.SH,1.0
66,603605.SH,20180223,24.45,24.98,24.41,24.73,24.61,0.12,0.49,19821.17,48907.075,603605.SH,1.0
67,603605.SH,20180226,25.06,25.6,24.79,25.46,24.73,0.73,2.95,32604.03,82289.733,603605.SH,1.0
68,603605.SH,20180227,25.4,25.41,25.01,25.27,25.46,-0.19,-0.75,24843.56,62688.926,603605.SH,1.0
69,603605.SH,20180228,24.9,24.9,24.44,24.82,25.27,-0.45,-1.78,25107.38,62024.803,603605.SH,1.0
70,603605.SH,20180301,24.61,25.04,24.51,24.96,24.82,0.14,0.56,18503.07,45966.262,603605.SH,1.0
71,603605.SH,20180302,24.7,24.83,24.05,24.18,24.96,-0.78,-3.13,28275.09,69237.187,603605.SH,1.0
72,603605.SH,20180305,24.22,24.79,24.16,24.58,24.18,0.4,1.65,31420.96,76922.176,603605.SH,1.0
73,603605.SH,20180306,24.71,25.62,24.58,25.45,24.58,0.87,3.54,46897.12,118026.71,603605.SH,1.0
74,603605.SH,20180307,26.46,26.49,25.69,25.78,25.45,0.33,1.3,47325.74,122877.524,603605.SH,1.0
75,603605.SH,20180308,25.8,26.08,25.52,26.06,25.78,0.28,1.09,34753.42,89935.105,603605.SH,1.0
76,603605.SH,20180309,26.0,27.1,25.72,26.66,26.06,0.6,2.3,53122.86,141104.385,603605.SH,1.0
77,603605.SH,20180312,27.47,28.38,27.25,27.76,26.66,1.1,4.13,50359.63,140007.234,603605.SH,1.0
78,603605.SH,20180313,27.4,28.28,27.36,27.46,27.76,-0.3,-1.08,34746.1,96785.281,603605.SH,1.0
79,603605.SH,20180314,27.4,29.49,27.27,28.65,27.46,1.19,4.33,53167.14,151201.301,603605.SH,1.0
80,603605.SH,20180315,28.65,28.87,27.73,28.09,28.65,-0.56,-1.95,31664.41,89544.141,603605.SH,1.0
81,603605.SH,20180316,28.07,28.49,27.58,27.58,28.09,-0.51,-1.82,19068.05,53269.748,603605.SH,1.0
82,603605.SH,20180319,27.55,29.25,27.36,29.1,27.58,1.52,5.51,42136.88,120765.84,603605.SH,1.0
83,603605.SH,20180320,28.61,29.76,28.61,29.2,29.1,0.1,0.34,46086.61,135152.192,603605.SH,1.0
84,603605.SH,20180321,29.2,29.45,28.74,28.89,29.2,-0.31,-1.06,20415.24,59347.728,603605.SH,1.0
85,603605.SH,20180322,29.05,29.93,28.85,28.88,28.89,-0.01,-0.03,26445.14,77571.687,603605.SH,1.0
86,603605.SH,20180323,27.92,30.28,27.4,28.9,28.88,0.02,0.07,62034.0,181856.0,603605.SH,1.0
87,603605.SH,20180326,28.44,30.42,27.38,30.37,28.9,1.47,5.09,49328.54,145840.289,603605.SH,1.0
88,603605.SH,20180327,30.43,31.36,29.88,30.14,30.37,-0.23,-0.76,46498.51,141408.151,603605.SH,1.0
89,603605.SH,20180328,29.3,30.75,29.15,30.03,30.14,-0.11,-0.37,29921.29,90074.512,603605.SH,1.0
90,603605.SH,20180329,30.08,31.2,30.08,30.75,30.03,0.72,2.4,28344.48,86977.629,603605.SH,1.0
91,603605.SH,20180330,30.61,31.45,30.51,31.24,30.75,0.49,1.59,26694.04,83168.778,603605.SH,1.0
92,603605.SH,20180402,31.26,31.58,30.01,30.38,31.24,-0.86,-2.75,28242.15,86268.37,603605.SH,1.0
93,603605.SH,20180403,30.01,30.01,29.0,29.59,30.38,-0.79,-2.6,20813.99,61372.534,603605.SH,1.0
94,603605.SH,20180404,29.69,32.55,29.6,31.2,29.59,1.61,5.44,48438.94,152365.842,603605.SH,1.0
95,603605.SH,20180409,30.7,31.97,30.05,31.93,31.2,0.73,2.34,32626.92,101555.067,603605.SH,1.0
96,603605.SH,20180410,31.53,32.47,30.87,31.51,31.93,-0.42,-1.32,33608.28,106616.964,603605.SH,1.0
97,603605.SH,20180411,31.5,33.29,31.03,33.03,31.51,1.52,4.82,39015.51,126115.022,603605.SH,1.0
98,603605.SH,20180412,32.79,34.58,32.5,33.78,33.03,0.75,2.27,40545.49,136231.677,603605.SH,1.0
99,603605.SH,20180413,33.9,34.98,33.63,33.95,33.78,0.17,0.5,33749.13,115881.296,603605.SH,1.0
100,603605.SH,20180416,33.81,35.17,33.81,34.88,33.95,0.93,2.74,26498.36,91890.331,603605.SH,1.0
101,603605.SH,20180417,35.0,35.48,32.65,32.96,34.88,-1.92,-5.5,37586.47,126458.128,603605.SH,1.0
102,603605.SH,20180418,33.5,35.97,32.8,35.01,32.96,2.05,6.22,49346.41,170107.67,603605.SH,1.0
103,603605.SH,20180419,34.99,36.99,34.5,35.94,35.01,0.93,2.66,47517.77,170919.33,603605.SH,1.0
104,603605.SH,20180420,36.11,37.38,35.63,36.09,35.94,0.15,0.42,34232.25,124711.369,603605.SH,1.0
105,603605.SH,20180423,35.9,36.4,34.45,35.65,36.09,-0.44,-1.22,35786.8,126311.99,603605.SH,1.0
106,603605.SH,20180424,35.37,37.24,34.88,37.19,35.65,1.54,4.32,55811.47,200308.906,603605.SH,1.0
107,603605.SH,20180425,36.75,37.47,36.38,36.82,37.19,-0.37,-0.99,26518.91,97701.697,603605.SH,1.0
108,603605.SH,20180426,36.78,37.2,34.8,35.2,36.82,-1.62,-4.4,37638.21,134540.387,603605.SH,1.0
109,603605.SH,20180427,35.49,35.97,34.35,35.89,35.2,0.69,1.96,28152.86,99414.86,603605.SH,1.0
110,603605.SH,20180502,35.84,37.1,35.04,36.71,35.89,0.82,2.28,34160.05,124541.145,603605.SH,1.0
111,603605.SH,20180503,36.53,36.95,35.99,36.92,36.71,0.21,0.57,19380.66,70672.594,603605.SH,1.0
112,603605.SH,20180504,36.83,36.83,35.8,35.91,36.92,-1.01,-2.74,23243.1,84369.509,603605.SH,1.0
113,603605.SH,20180507,35.99,38.76,35.5,38.02,35.91,2.11,5.88,44788.26,167430.339,603605.SH,1.0
114,603605.SH,20180508,37.98,38.49,37.24,37.88,38.02,-0.14,-0.37,25159.1,94751.799,603605.SH,1.0
115,603605.SH,20180509,37.69,38.1,37.2,37.91,37.88,0.03,0.08,18379.8,69206.365,603605.SH,1.0
116,603605.SH,20180510,37.8,38.38,37.53,38.05,37.91,0.14,0.37,16341.7,61918.858,603605.SH,1.0
117,603605.SH,20180511,37.9,37.9,35.92,35.97,38.05,-2.08,-5.47,40822.59,149554.836,603605.SH,1.0
118,603605.SH,20180514,35.79,36.11,35.25,35.39,35.97,-0.58,-1.61,32914.76,116798.652,603605.SH,1.0
119,603605.SH,20180515,35.39,36.38,35.29,36.13,35.39,0.74,2.09,21791.78,78163.791,603605.SH,1.0
120,603605.SH,20180516,35.76,37.94,35.59,36.69,36.13,0.56,1.55,32777.83,121325.149,603605.SH,1.0
121,603605.SH,20180517,36.82,37.23,36.11,36.56,36.69,-0.13,-0.35,25352.79,92730.889,603605.SH,1.0
122,603605.SH,20180518,36.56,36.74,35.38,35.92,36.56,-0.64,-1.75,20850.23,74970.604,603605.SH,1.0
123,603605.SH,20180521,36.06,37.07,35.7,36.97,35.92,1.05,2.92,26275.05,95609.798,603605.SH,1.0
124,603605.SH,20180522,37.12,38.52,36.52,38.2,36.97,1.23,3.33,40311.94,151036.496,603605.SH,1.0
125,603605.SH,20180523,37.81,37.87,36.26,36.39,38.2,-1.81,-4.74,38929.66,143886.262,603605.SH,1.0
126,603605.SH,20180524,36.18,36.48,35.3,35.51,36.08,-0.57,-1.58,19629.73,70170.497,603605.SH,1.009
127,603605.SH,20180525,35.42,35.98,34.6,35.47,35.51,-0.04,-0.11,22405.08,79276.933,603605.SH,1.009
128,603605.SH,20180528,35.29,35.91,34.3,35.56,35.47,0.09,0.25,19500.12,68846.746,603605.SH,1.009
129,603605.SH,20180529,35.5,36.55,35.35,35.41,35.56,-0.15,-0.42,20058.9,72206.909,603605.SH,1.009
130,603605.SH,20180530,34.92,36.5,34.22,35.4,35.41,-0.01,-0.03,23869.47,84515.265,603605.SH,1.009
131,603605.SH,20180531,36.0,38.0,36.0,37.75,35.4,2.35,6.64,49317.26,182306.447,603605.SH,1.009
132,603605.SH,20180601,37.2,40.48,36.82,38.19,37.75,0.44,1.17,67519.34,261008.424,603605.SH,1.009
133,603605.SH,20180604,38.11,38.8,36.8,38.32,38.19,0.13,0.34,29723.64,112569.9,603605.SH,1.009
134,603605.SH,20180605,38.0,40.37,37.78,39.96,38.32,1.64,4.28,45650.48,180836.288,603605.SH,1.009
135,603605.SH,20180606,39.62,41.6,39.6,40.94,39.96,0.98,2.45,39077.54,158244.356,603605.SH,1.009
136,603605.SH,20180607,40.9,41.29,39.65,40.36,40.94,-0.58,-1.42,23775.19,95973.41,603605.SH,1.009
137,603605.SH,20180608,40.3,40.3,38.95,39.6,40.36,-0.76,-1.88,24843.69,97969.4,603605.SH,1.009
138,603605.SH,20180611,39.6,40.19,37.78,38.06,39.6,-1.54,-3.89,26559.19,102811.017,603605.SH,1.009
139,603605.SH,20180612,38.2,39.5,37.43,39.09,38.06,1.03,2.71,26643.73,102921.345,603605.SH,1.009
140,603605.SH,20180613,38.6,39.18,36.21,36.3,39.09,-2.79,-7.14,40671.93,152047.25,603605.SH,1.009
141,603605.SH,20180614,36.25,37.2,36.08,36.13,36.3,-0.17,-0.47,27414.97,100438.322,603605.SH,1.009
142,603605.SH,20180615,36.4,36.88,35.6,36.05,36.13,-0.08,-0.22,18636.27,67338.084,603605.SH,1.009
143,603605.SH,20180619,35.4,36.6,35.05,35.43,36.05,-0.62,-1.72,29128.06,104386.793,603605.SH,1.009
144,603605.SH,20180620,35.57,36.13,33.7,35.98,35.43,0.55,1.55,36275.64,126930.777,603605.SH,1.009
145,603605.SH,20180621,35.5,36.65,35.3,35.96,35.98,-0.02,-0.06,27638.73,99505.715,603605.SH,1.009
146,603605.SH,20180622,35.98,36.78,35.6,36.68,35.96,0.72,2.0,17505.42,63648.061,603605.SH,1.009
147,603605.SH,20180625,36.97,37.15,36.0,36.15,36.68,-0.53,-1.44,15487.5,56472.345,603605.SH,1.009
148,603605.SH,20180626,35.95,36.82,35.0,35.11,36.15,-1.04,-2.88,20065.34,72018.119,603605.SH,1.009
149,603605.SH,20180627,36.55,38.62,36.55,38.59,35.11,3.48,9.91,76195.29,291220.947,603605.SH,1.009
150,603605.SH,20180628,37.75,39.01,37.7,38.69,38.59,0.1,0.26,39912.84,153209.715,603605.SH,1.009
151,603605.SH,20180629,38.4,42.56,38.27,42.56,38.69,3.87,10.0,44380.34,182199.983,603605.SH,1.009
152,603605.SH,20180702,43.1,44.48,42.57,43.66,42.56,1.1,2.58,44487.55,193918.687,603605.SH,1.009
153,603605.SH,20180703,43.22,44.0,41.6,43.45,43.66,-0.21,-0.48,33982.67,145442.819,603605.SH,1.009
154,603605.SH,20180704,42.95,45.15,42.28,42.33,43.45,-1.12,-2.58,28563.81,124241.117,603605.SH,1.009
155,603605.SH,20180705,41.91,44.0,41.43,42.59,42.33,0.26,0.61,26897.52,114853.828,603605.SH,1.009
156,603605.SH,20180706,43.15,43.81,39.55,41.18,42.59,-1.41,-3.31,40147.31,166009.246,603605.SH,1.009
157,603605.SH,20180709,41.6,45.3,41.51,45.3,41.18,4.12,10.0,50469.44,220998.196,603605.SH,1.009
158,603605.SH,20180710,45.9,46.2,44.41,45.13,45.3,-0.17,-0.38,40539.83,183068.741,603605.SH,1.009
159,603605.SH,20180711,44.22,45.5,43.01,44.53,45.13,-0.6,-1.33,30871.28,136905.053,603605.SH,1.009
160,603605.SH,20180712,44.27,48.98,44.27,48.98,44.53,4.45,9.99,36074.07,169469.796,603605.SH,1.009
161,603605.SH,20180713,49.9,50.5,47.58,49.46,48.98,0.48,0.98,44173.69,216924.25,603605.SH,1.009
162,603605.SH,20180716,48.97,54.41,48.56,51.74,49.46,2.28,4.61,48704.16,251667.313,603605.SH,1.009
163,603605.SH,20180717,51.8,53.44,50.72,53.06,51.74,1.32,2.55,32691.93,171060.785,603605.SH,1.009
164,603605.SH,20180718,52.81,52.86,50.1,51.4,53.06,-1.66,-3.13,40321.9,206479.265,603605.SH,1.009
165,603605.SH,20180719,50.6,50.73,48.4,49.52,51.4,-1.88,-3.66,36209.98,178525.506,603605.SH,1.009
166,603605.SH,20180720,49.21,50.39,47.11,48.68,49.52,-0.84,-1.6963,41197.86,200627.103,603605.SH,1.009
167,603605.SH,20180723,48.0,49.5,46.72,49.03,48.68,0.35,0.719,32358.38,155774.345,603605.SH,1.009
168,603605.SH,20180724,48.31,49.05,47.01,48.65,49.03,-0.38,-0.775,35460.58,171167.829,603605.SH,1.009
169,603605.SH,20180725,48.65,50.48,48.17,49.39,48.65,0.74,1.5211,40899.6,202900.378,603605.SH,1.009
170,603605.SH,20180726,48.48,48.78,47.08,47.33,49.39,-2.06,-4.1709,29653.53,141313.1,603605.SH,1.009
